Index,GPU,ProblemSize,ThreadsPerBlock,NumBlocks,Alignment,Operation,Avg_SingleThreadTime(sec),Avg_KernelTime(sec),Avg_Speedup
1,GPU_5,1030,448,4,good,reduction,1.55e-05,2.7499999999999998e-05,0.575
2,GPU_5,1035,224,10,good,reduction,1.3e-05,2.6000000000000002e-05,0.51
3,GPU_5,1041,512,5,good,reduction,1.4e-05,2.8e-05,0.495
4,GPU_5,1048,47,33,bad,reduction,1.4e-05,2.55e-05,0.56
5,GPU_5,1053,640,4,good,reduction,1.3000000000000001e-05,2.55e-05,0.505
6,GPU_5,1055,320,8,good,reduction,1.4e-05,2.5e-05,0.56
7,GPU_5,1058,352,6,good,reduction,1.15e-05,2.3500000000000002e-05,0.5
8,GPU_5,1059,128,14,good,reduction,1.0500000000000001e-05,2.1000000000000002e-05,0.505
9,GPU_5,1071,657,4,bad,reduction,9.999999999999999e-06,1.95e-05,0.495
10,GPU_5,1073,384,3,good,reduction,1.3000000000000001e-05,2.6e-05,0.51
11,GPU_5,1081,882,4,bad,reduction,1.4e-05,2.1e-05,0.59
12,GPU_5,1108,75,26,bad,reduction,9.5e-06,1.95e-05,0.465
13,GPU_5,1125,224,6,good,reduction,1.5e-05,2.55e-05,0.6
14,GPU_5,1133,1024,4,good,reduction,1.0500000000000001e-05,2.6000000000000002e-05,0.415
15,GPU_5,1137,384,4,good,reduction,1.45e-05,3.65e-05,0.43500000000000005
16,GPU_5,1138,680,4,bad,reduction,1.0500000000000001e-05,1.9e-05,0.52
17,GPU_5,1140,736,4,good,reduction,5e-06,1.2499999999999999e-05,0.385
18,GPU_5,1145,928,4,good,reduction,1.45e-05,2.8e-05,0.525
19,GPU_5,1157,175,8,bad,reduction,1.35e-05,2.6000000000000002e-05,0.525
20,GPU_5,1194,480,6,good,reduction,1.4999999999999999e-05,2.65e-05,0.575
21,GPU_5,1204,256,5,good,reduction,1.5e-05,2.55e-05,0.595
22,GPU_5,1212,896,4,good,reduction,1.7e-05,2.7e-05,0.64
23,GPU_5,1237,864,3,good,reduction,1.6e-05,2.7e-05,0.58
24,GPU_5,1242,207,7,bad,reduction,1.45e-05,2.4999999999999998e-05,0.5900000000000001
25,GPU_5,1243,576,6,good,reduction,1.5e-05,2.7499999999999998e-05,0.55
26,GPU_5,1245,96,16,good,reduction,1.4e-05,2.65e-05,0.53
27,GPU_5,1253,288,9,good,reduction,6.5000000000000004e-06,1.35e-05,0.48
28,GPU_5,1255,881,2,bad,reduction,6.5000000000000004e-06,1.95e-05,0.36
29,GPU_5,1258,793,3,bad,reduction,1.4999999999999999e-05,2.65e-05,0.575
30,GPU_5,1273,232,11,bad,reduction,1.55e-05,2.45e-05,0.64
31,GPU_5,1275,497,4,bad,reduction,1.7e-05,2.65e-05,0.65
32,GPU_5,1295,992,2,good,reduction,1.4999999999999999e-05,2.65e-05,0.575
33,GPU_5,1302,608,4,good,reduction,7e-06,1.4e-05,0.495
34,GPU_5,1307,672,3,good,reduction,1.6e-05,2.7e-05,0.605
35,GPU_5,1321,896,2,good,reduction,1.95e-05,3.2e-05,0.6
36,GPU_5,1324,480,4,good,reduction,6e-06,1.2499999999999999e-05,0.485
37,GPU_5,1339,224,6,good,reduction,1.15e-05,1.9e-05,0.5650000000000001
38,GPU_5,1340,832,3,good,reduction,1.2e-05,2.05e-05,0.5700000000000001
39,GPU_5,1368,296,10,bad,reduction,1.55e-05,2.7499999999999998e-05,0.5700000000000001
40,GPU_5,1378,954,3,bad,reduction,1.6e-05,2.7e-05,0.605
41,GPU_5,1382,992,3,good,reduction,1.55e-05,2.7e-05,0.58
42,GPU_5,1385,928,2,good,reduction,1.15e-05,2.15e-05,0.525
43,GPU_5,1387,979,3,bad,reduction,1.6e-05,2.9e-05,0.55
44,GPU_5,1404,1018,3,bad,reduction,1.6e-05,2.65e-05,0.61
45,GPU_5,1416,128,14,good,reduction,1.7e-05,2.65e-05,0.65
46,GPU_5,1434,848,4,bad,reduction,1.2e-05,2.15e-05,0.55
47,GPU_5,1458,896,3,good,reduction,1.2e-05,2.2499999999999998e-05,0.51
48,GPU_5,1483,663,3,bad,reduction,1.4e-05,2.8e-05,0.52
49,GPU_5,1498,210,9,bad,reduction,1.3000000000000001e-05,3.2e-05,0.44999999999999996
50,GPU_5,1502,246,14,bad,reduction,1.5e-05,2.2e-05,0.675
51,GPU_5,1510,480,6,good,reduction,1.7e-05,2.9e-05,0.605
52,GPU_5,1524,140,22,bad,reduction,1.75e-05,2.6e-05,0.685
53,GPU_5,1531,832,2,good,reduction,1.7e-05,2.7e-05,0.635
54,GPU_5,1567,990,3,bad,reduction,1.25e-05,2.8e-05,0.44
55,GPU_5,1572,224,8,good,reduction,1.75e-05,2.6000000000000002e-05,0.685
56,GPU_5,1574,896,2,good,reduction,1.8e-05,2.6000000000000002e-05,0.7
57,GPU_5,1587,960,3,good,reduction,1.8e-05,2.9e-05,0.63
58,GPU_5,1596,864,3,good,reduction,1.8500000000000002e-05,2.6e-05,0.72
59,GPU_5,1602,512,5,good,reduction,1.25e-05,1.9e-05,0.63
60,GPU_5,1664,576,6,good,reduction,1.25e-05,1.9999999999999998e-05,0.595
61,GPU_5,1716,608,4,good,reduction,1.9e-05,3.2e-05,0.605
62,GPU_5,1719,480,8,good,reduction,1.75e-05,3.5499999999999996e-05,0.54
63,GPU_5,1754,672,5,good,reduction,1.4000000000000001e-05,2.1e-05,0.6499999999999999
64,GPU_5,1818,917,2,bad,reduction,1.9e-05,2.65e-05,0.715
65,GPU_5,1820,1023,4,bad,reduction,1.7e-05,2.1000000000000002e-05,0.815
66,GPU_5,1826,864,4,good,reduction,1.8e-05,2.55e-05,0.715
67,GPU_5,1841,128,17,good,reduction,1.75e-05,2.4999999999999998e-05,0.71
68,GPU_5,1866,572,8,bad,reduction,1.15e-05,1.85e-05,0.615
69,GPU_5,1948,288,14,good,reduction,9e-06,1.45e-05,0.605
70,GPU_5,2027,160,16,good,reduction,1.9e-05,2.6e-05,0.73
71,GPU_5,2091,820,3,bad,reduction,2.1e-05,2.6e-05,0.82
72,GPU_5,2150,352,7,good,reduction,1.4999999999999999e-05,1.9e-05,0.73
73,GPU_5,2186,768,5,good,reduction,1.6e-05,1.9999999999999998e-05,0.78
74,GPU_5,2242,830,3,bad,reduction,1.55e-05,2.1e-05,0.705
75,GPU_5,2315,147,30,bad,reduction,1.5000000000000002e-05,2e-05,0.7350000000000001
76,GPU_5,2340,448,8,good,reduction,2.2499999999999998e-05,2.6e-05,0.88
77,GPU_5,2351,256,17,good,reduction,2.3e-05,2.6e-05,0.9
78,GPU_5,2368,224,17,good,reduction,2.3e-05,2.55e-05,0.9199999999999999
79,GPU_5,2455,736,6,good,reduction,2.2e-05,2.85e-05,0.785
80,GPU_5,2456,672,4,good,reduction,2.3500000000000002e-05,2.65e-05,0.9
81,GPU_5,2463,448,7,good,reduction,1.65e-05,2.05e-05,0.765
82,GPU_5,2543,335,10,bad,reduction,1.65e-05,2.7499999999999998e-05,0.605
83,GPU_5,2603,665,7,bad,reduction,2.55e-05,2.7e-05,0.9550000000000001
84,GPU_5,2623,992,3,good,reduction,2.3e-05,2.55e-05,0.91
85,GPU_5,2643,545,10,bad,reduction,1.8500000000000002e-05,1.9999999999999998e-05,0.9099999999999999
86,GPU_5,2653,754,4,bad,reduction,1.95e-05,2.3e-05,0.865
87,GPU_5,2671,935,5,bad,reduction,2.5499999999999996e-05,2.2499999999999998e-05,1.1
88,GPU_5,2713,386,14,bad,reduction,1.8e-05,2.7e-05,0.63
89,GPU_5,2762,992,5,good,reduction,2.65e-05,2.85e-05,0.925
90,GPU_5,2770,864,6,good,reduction,2.4e-05,2.4999999999999998e-05,0.97
91,GPU_5,2772,992,6,good,reduction,2.45e-05,2.6000000000000002e-05,0.96
92,GPU_5,2775,160,22,good,reduction,2.6e-05,2.4999999999999998e-05,1.0550000000000002
93,GPU_5,2794,672,8,good,reduction,2.65e-05,2.7e-05,0.99
94,GPU_5,2836,192,16,good,reduction,2.15e-05,2.65e-05,0.85
95,GPU_5,2843,468,10,bad,reduction,1.95e-05,2.1000000000000002e-05,0.93
96,GPU_5,2862,128,25,good,reduction,2.45e-05,2.45e-05,1.0150000000000001
97,GPU_5,2923,416,9,good,reduction,2.9999999999999997e-05,3.0499999999999996e-05,1.0050000000000001
