Index,GPU,ProblemSize,ThreadsPerBlock,NumBlocks,Alignment,Operation,Avg_SingleThreadTime(sec),Avg_KernelTime(sec),Avg_Speedup
1,GPU_4,1014,568,4,bad,addition,0.101536,0.019552,5.195
2,GPU_4,1027,480,5,good,addition,0.10688,0.019776000000000002,5.405
3,GPU_4,1040,544,4,good,addition,0.10483200000000001,0.019984000000000002,5.244999999999999
4,GPU_4,1065,502,6,bad,addition,0.112592,0.020544,5.475
5,GPU_4,1077,68,16,bad,addition,0.111312,0.020912,5.324999999999999
6,GPU_4,1090,881,4,bad,addition,0.11104,0.021392,5.1899999999999995
7,GPU_4,1106,160,11,good,addition,0.10524800000000001,0.019984000000000002,5.265000000000001
8,GPU_4,1134,320,6,good,addition,0.105408,0.019504,5.404999999999999
9,GPU_4,1154,224,8,good,addition,0.105648,0.020416,5.175
10,GPU_4,1167,104,22,bad,addition,0.10152,0.020319999999999998,4.995
11,GPU_4,1189,920,2,bad,addition,0.108736,0.020880000000000003,5.205
12,GPU_4,1211,256,8,good,addition,0.11,0.020768000000000002,5.295
13,GPU_4,1212,872,3,bad,addition,0.10984,0.020336,5.405
14,GPU_4,1219,288,7,good,addition,0.106848,0.019936000000000002,5.359999999999999
15,GPU_4,1240,66,23,bad,addition,0.105712,0.021344000000000002,4.955
16,GPU_4,1276,64,37,good,addition,0.106656,0.020367999999999997,5.24
17,GPU_4,1286,352,7,good,addition,0.10691200000000001,0.021008,5.09
18,GPU_4,1295,800,4,good,addition,0.108464,0.020512,5.289999999999999
19,GPU_4,1307,736,4,good,addition,0.109168,0.020736,5.27
20,GPU_4,1309,325,9,bad,addition,0.105936,0.020624,5.140000000000001
21,GPU_4,1312,236,7,bad,addition,0.107984,0.020368,5.3100000000000005
22,GPU_4,1327,338,8,bad,addition,0.111248,0.021151999999999997,5.26
23,GPU_4,1334,864,2,good,addition,0.104,0.02008,5.175
24,GPU_4,1336,911,3,bad,addition,0.10342399999999999,0.020672000000000003,5.005000000000001
25,GPU_4,1367,512,5,good,addition,0.107504,0.020048,5.365
26,GPU_4,1370,288,10,good,addition,0.107376,0.020768000000000002,5.17
27,GPU_4,1373,409,7,bad,addition,0.106128,0.021088,5.029999999999999
28,GPU_4,1388,480,5,good,addition,0.10728,0.0204,5.26
29,GPU_4,1389,704,3,good,addition,0.108128,0.020608,5.25
30,GPU_4,1390,288,10,good,addition,0.10625599999999999,0.020832,5.105
31,GPU_4,1399,992,4,good,addition,0.109264,0.02024,5.4
32,GPU_4,1406,736,2,good,addition,0.10891200000000001,0.020592,5.29
33,GPU_4,1411,864,4,good,addition,0.109248,0.020720000000000002,5.275
34,GPU_4,1413,384,5,good,addition,0.108048,0.021312,5.075
35,GPU_4,1414,256,7,good,addition,0.106928,0.020592,5.19
36,GPU_4,1447,410,6,bad,addition,0.109792,0.020575999999999997,5.335
37,GPU_4,1468,671,3,bad,addition,0.114544,0.020976,5.46
38,GPU_4,1493,659,6,bad,addition,0.115232,0.021504000000000002,5.36
39,GPU_4,1496,863,4,bad,addition,0.10796800000000001,0.020976,5.145
40,GPU_4,1500,1008,2,bad,addition,0.106464,0.021263999999999998,5.01
41,GPU_4,1507,544,4,good,addition,0.10896,0.021744,5.01
42,GPU_4,1550,144,12,bad,addition,0.107872,0.021696,4.970000000000001
43,GPU_4,1552,691,3,bad,addition,0.10878399999999999,0.021616,5.035
44,GPU_4,1561,161,20,bad,addition,0.10649600000000001,0.021376,4.99
45,GPU_4,1589,192,12,good,addition,0.105504,0.021504000000000002,4.91
46,GPU_4,1611,362,7,bad,addition,0.10616,0.022064,4.8149999999999995
47,GPU_4,1614,422,4,bad,addition,0.106512,0.021568,4.9350000000000005
48,GPU_4,1635,514,5,bad,addition,0.10592,0.020352000000000002,5.205
