Index,GPU,ProblemSize,ThreadsPerBlock,NumBlocks,Alignment,Operation,Avg_SingleThreadTime(sec),Avg_KernelTime(sec),Avg_Speedup
1,GPU_2,1030,448,4,good,subtraction,6.5000000000000004e-06,2.45e-05,0.365
2,GPU_2,1035,224,10,good,subtraction,6.5000000000000004e-06,1.2e-05,0.53
3,GPU_2,1041,512,5,good,subtraction,6e-06,2.35e-05,0.33
4,GPU_2,1048,47,33,bad,subtraction,6e-06,1.75e-05,0.365
5,GPU_2,1053,640,4,good,subtraction,6.5000000000000004e-06,1.75e-05,0.42
6,GPU_2,1055,320,8,good,subtraction,6e-06,2.2499999999999998e-05,0.275
7,GPU_2,1058,352,6,good,subtraction,6.5000000000000004e-06,2.15e-05,0.405
8,GPU_2,1059,128,14,good,subtraction,6e-06,1.75e-05,0.38
9,GPU_2,1071,657,4,bad,subtraction,6.5000000000000004e-06,2.35e-05,0.33
10,GPU_2,1073,384,3,good,subtraction,6e-06,1.8e-05,0.36
11,GPU_2,1081,882,4,bad,subtraction,6e-06,1.2e-05,0.49
12,GPU_2,1108,75,26,bad,subtraction,6.5000000000000004e-06,2.2e-05,0.38
13,GPU_2,1125,224,6,good,subtraction,6.5000000000000004e-06,1.55e-05,0.45499999999999996
14,GPU_2,1133,1024,4,good,subtraction,6.5000000000000004e-06,1.7e-05,0.4
15,GPU_2,1137,384,4,good,subtraction,6.5000000000000004e-06,1.7e-05,0.41000000000000003
16,GPU_2,1138,680,4,bad,subtraction,6.5000000000000004e-06,1.2499999999999999e-05,0.51
17,GPU_2,1140,736,4,good,subtraction,6.5000000000000004e-06,1.7e-05,0.4
18,GPU_2,1145,928,4,good,subtraction,6.5000000000000004e-06,1.8e-05,0.395
19,GPU_2,1157,175,8,bad,subtraction,7e-06,1.2e-05,0.57
20,GPU_2,1194,480,6,good,subtraction,7e-06,1.1e-05,0.62
21,GPU_2,1204,256,5,good,subtraction,6.5000000000000004e-06,1.55e-05,0.43999999999999995
22,GPU_2,1212,896,4,good,subtraction,6.5000000000000004e-06,2.2499999999999998e-05,0.29000000000000004
23,GPU_2,1237,864,3,good,subtraction,7e-06,1.2e-05,0.57
24,GPU_2,1242,207,7,bad,subtraction,7e-06,2.8e-05,0.27
25,GPU_2,1243,576,6,good,subtraction,7e-06,1.55e-05,0.46499999999999997
26,GPU_2,1245,96,16,good,subtraction,6.5000000000000004e-06,1.65e-05,0.45
27,GPU_2,1253,288,9,good,subtraction,7e-06,1.2e-05,0.57
28,GPU_2,1255,881,2,bad,subtraction,7e-06,1.6e-05,0.475
29,GPU_2,1258,793,3,bad,subtraction,6.5000000000000004e-06,1.9999999999999998e-05,0.39499999999999996
30,GPU_2,1273,232,11,bad,subtraction,7e-06,1.65e-05,0.475
31,GPU_2,1275,497,4,bad,subtraction,7e-06,1.15e-05,0.595
32,GPU_2,1295,992,2,good,subtraction,7e-06,1.85e-05,0.41500000000000004
33,GPU_2,1302,608,4,good,subtraction,7e-06,1.75e-05,0.43999999999999995
34,GPU_2,1307,672,3,good,subtraction,7e-06,1.6000000000000003e-05,0.45499999999999996
35,GPU_2,1321,896,2,good,subtraction,7.499999999999999e-06,1.2e-05,0.61
36,GPU_2,1324,480,4,good,subtraction,7e-06,1.2e-05,0.57
37,GPU_2,1339,224,6,good,subtraction,8e-06,1.7e-05,0.51
38,GPU_2,1340,832,3,good,subtraction,7.499999999999999e-06,1.2e-05,0.61
39,GPU_2,1368,296,10,bad,subtraction,8e-06,1.2e-05,0.65
40,GPU_2,1378,954,3,bad,subtraction,7e-06,1.7e-05,0.44999999999999996
41,GPU_2,1382,992,3,good,subtraction,7.499999999999999e-06,1.7e-05,0.49
42,GPU_2,1385,928,2,good,subtraction,7.499999999999999e-06,1.95e-05,0.43499999999999994
43,GPU_2,1387,979,3,bad,subtraction,7e-06,1.15e-05,0.595
44,GPU_2,1404,1018,3,bad,subtraction,7.499999999999999e-06,1.15e-05,0.635
45,GPU_2,1416,128,14,good,subtraction,7.499999999999999e-06,1.7e-05,0.47
46,GPU_2,1434,848,4,bad,subtraction,8e-06,2.3500000000000002e-05,0.35
47,GPU_2,1458,896,3,good,subtraction,8e-06,1.7e-05,0.51
48,GPU_2,1483,663,3,bad,subtraction,8e-06,2.65e-05,0.42500000000000004
49,GPU_2,1498,210,9,bad,subtraction,7.499999999999999e-06,1.75e-05,0.46499999999999997
50,GPU_2,1502,246,14,bad,subtraction,8.5e-06,1.7e-05,0.55
51,GPU_2,1510,480,6,good,subtraction,8e-06,1.1e-05,0.71
52,GPU_2,1524,140,22,bad,subtraction,8e-06,2.2e-05,0.37
53,GPU_2,1531,832,2,good,subtraction,8e-06,1.3e-05,0.6
54,GPU_2,1567,990,3,bad,subtraction,8.5e-06,1.55e-05,0.57
55,GPU_2,1572,224,8,good,subtraction,8.5e-06,1.65e-05,0.56
56,GPU_2,1574,896,2,good,subtraction,8e-06,1.2499999999999999e-05,0.625
57,GPU_2,1587,960,3,good,subtraction,8e-06,1.75e-05,0.505
58,GPU_2,1596,864,3,good,subtraction,8.5e-06,1.8e-05,0.515
59,GPU_2,1602,512,5,good,subtraction,8.5e-06,2.3e-05,0.485
60,GPU_2,1664,576,6,good,subtraction,8e-06,1.7e-05,0.51
61,GPU_2,1716,608,4,good,subtraction,9e-06,2.2499999999999998e-05,0.41000000000000003
62,GPU_2,1719,480,8,good,subtraction,9e-06,1.7e-05,0.575
63,GPU_2,1754,672,5,good,subtraction,9e-06,1.6000000000000003e-05,0.585
64,GPU_2,1818,917,2,bad,subtraction,9e-06,1.5e-05,0.63
65,GPU_2,1820,1023,4,bad,subtraction,9e-06,1.75e-05,0.55
66,GPU_2,1826,864,4,good,subtraction,8.5e-06,1.65e-05,0.535
67,GPU_2,1841,128,17,good,subtraction,9.5e-06,1.15e-05,0.805
68,GPU_2,1866,572,8,bad,subtraction,8.5e-06,1.65e-05,0.535
69,GPU_2,1948,288,14,good,subtraction,9.5e-06,2.05e-05,0.46499999999999997
70,GPU_2,2027,160,16,good,subtraction,1e-05,1.2e-05,0.81
71,GPU_2,2091,820,3,bad,subtraction,1e-05,1.7e-05,0.665
72,GPU_2,2150,352,7,good,subtraction,1.0500000000000001e-05,1.8e-05,0.64
73,GPU_2,2186,768,5,good,subtraction,1.0500000000000001e-05,1.1e-05,0.935
74,GPU_2,2242,830,3,bad,subtraction,1.1e-05,1.15e-05,0.94
75,GPU_2,2315,147,30,bad,subtraction,1.1e-05,1.0500000000000001e-05,1.025
76,GPU_2,2340,448,8,good,subtraction,1.15e-05,2.15e-05,0.535
77,GPU_2,2351,256,17,good,subtraction,1.0500000000000001e-05,1.65e-05,0.7
78,GPU_2,2368,224,17,good,subtraction,1.1e-05,1.9999999999999998e-05,0.55
79,GPU_2,2455,736,6,good,subtraction,1.1e-05,2.05e-05,0.675
80,GPU_2,2456,672,4,good,subtraction,1.1e-05,2.2e-05,0.66
81,GPU_2,2463,448,7,good,subtraction,1.15e-05,1.1e-05,1.025
82,GPU_2,2543,335,10,bad,subtraction,1.15e-05,1.15e-05,0.98
83,GPU_2,2603,665,7,bad,subtraction,1.15e-05,1.7e-05,0.745
84,GPU_2,2623,992,3,good,subtraction,1.15e-05,1.15e-05,0.9850000000000001
85,GPU_2,2643,545,10,bad,subtraction,1.2e-05,1.65e-05,0.8150000000000001
86,GPU_2,2653,754,4,bad,subtraction,1.2e-05,2.2499999999999998e-05,0.545
87,GPU_2,2671,935,5,bad,subtraction,1.2e-05,1.2e-05,0.98
88,GPU_2,2713,386,14,bad,subtraction,1.2e-05,1.7e-05,0.77
89,GPU_2,2762,992,5,good,subtraction,1.2e-05,1.65e-05,0.8150000000000001
90,GPU_2,2770,864,6,good,subtraction,1.2499999999999999e-05,1.15e-05,1.065
91,GPU_2,2772,992,6,good,subtraction,1.2e-05,1.15e-05,1.025
92,GPU_2,2775,160,22,good,subtraction,1.2e-05,1.55e-05,0.8300000000000001
93,GPU_2,2794,672,8,good,subtraction,1.2e-05,1.65e-05,0.8150000000000001
94,GPU_2,2836,192,16,good,subtraction,1.2499999999999999e-05,1.15e-05,1.065
95,GPU_2,2843,468,10,bad,subtraction,1.2e-05,1.15e-05,1.025
96,GPU_2,2862,128,25,good,subtraction,1.3e-05,1.1e-05,1.15
97,GPU_2,2923,416,9,good,subtraction,1.35e-05,1.65e-05,0.8999999999999999
98,GPU_2,2955,896,8,good,subtraction,1.3e-05,1.55e-05,0.8899999999999999
99,GPU_2,3007,36,163,bad,subtraction,1.3e-05,1.2e-05,1.06
100,GPU_2,3016,672,6,good,subtraction,1.35e-05,2.85e-05,0.495
101,GPU_2,3035,832,7,good,subtraction,1.35e-05,1.55e-05,0.915
102,GPU_2,3039,712,9,bad,subtraction,1.3e-05,1.15e-05,1.105
103,GPU_2,3100,960,7,good,subtraction,1.4e-05,1.65e-05,0.9450000000000001
104,GPU_2,3115,32,129,good,subtraction,1.35e-05,1.7e-05,0.855
105,GPU_2,3117,384,13,good,subtraction,1.4e-05,1.15e-05,1.195
106,GPU_2,3153,221,20,bad,subtraction,1.4e-05,1.15e-05,1.19
107,GPU_2,3181,513,9,bad,subtraction,1.35e-05,1.65e-05,0.9199999999999999
108,GPU_2,3225,395,9,bad,subtraction,1.4e-05,1.45e-05,1.0
109,GPU_2,3256,645,12,bad,subtraction,1.4e-05,1.1e-05,1.24
110,GPU_2,3312,222,15,bad,subtraction,1.4e-05,1.7e-05,0.895
111,GPU_2,3331,160,26,good,subtraction,1.45e-05,2.7499999999999998e-05,0.79
112,GPU_2,3384,594,7,bad,subtraction,1.5e-05,1.7e-05,1.0
113,GPU_2,3443,963,4,bad,subtraction,1.5e-05,1.2e-05,1.23
114,GPU_2,3454,389,16,bad,subtraction,1.45e-05,1.55e-05,1.055
115,GPU_2,3474,320,21,good,subtraction,1.5e-05,1.9e-05,1.0
116,GPU_2,3568,448,11,good,subtraction,1.5e-05,1.55e-05,1.03
117,GPU_2,3594,32,113,good,subtraction,1.5e-05,1.75e-05,0.9450000000000001
118,GPU_2,3646,793,9,bad,subtraction,1.6e-05,1.75e-05,1.005
119,GPU_2,3687,289,23,bad,subtraction,1.6e-05,1.15e-05,1.3599999999999999
120,GPU_2,3833,480,16,good,subtraction,1.6e-05,1.5000000000000002e-05,1.17
121,GPU_2,3984,391,14,bad,subtraction,1.65e-05,1.6e-05,1.2
122,GPU_2,4046,320,21,good,subtraction,1.7e-05,2.1000000000000002e-05,0.81
123,GPU_2,4051,790,11,bad,subtraction,1.7e-05,1.1e-05,1.51
124,GPU_2,4082,722,6,bad,subtraction,1.7e-05,1.6000000000000003e-05,1.105
125,GPU_2,4085,534,15,bad,subtraction,1.7e-05,1.6000000000000003e-05,1.105
126,GPU_2,4087,885,5,bad,subtraction,1.8500000000000002e-05,2e-05,0.905
127,GPU_2,4091,96,70,good,subtraction,1.75e-05,2.25e-05,0.965
128,GPU_2,4141,160,34,good,subtraction,1.75e-05,1.1e-05,1.5550000000000002
129,GPU_2,4211,370,20,bad,subtraction,1.7e-05,1.9e-05,0.875
130,GPU_2,4261,228,31,bad,subtraction,1.75e-05,1.1e-05,1.5550000000000002
