Index,GPU,ProblemSize,ThreadsPerBlock,NumBlocks,Alignment,Operation,Avg_SingleThreadTime(sec),Avg_KernelTime(sec),Avg_Speedup
1,GPU_3,1030,448,4,good,addition,6e-06,2.2e-05,0.355
2,GPU_3,1035,224,10,good,addition,6e-06,1.2499999999999999e-05,0.47
3,GPU_3,1041,512,5,good,addition,6e-06,1.2e-05,0.49
4,GPU_3,1048,47,33,bad,addition,6e-06,1.75e-05,0.365
5,GPU_3,1053,640,4,good,addition,6e-06,2.3500000000000002e-05,0.26
6,GPU_3,1055,320,8,good,addition,6e-06,2.2e-05,0.3
7,GPU_3,1058,352,6,good,addition,6e-06,1.75e-05,0.365
8,GPU_3,1059,128,14,good,addition,6.5000000000000004e-06,1.8e-05,0.395
9,GPU_3,1071,657,4,bad,addition,6e-06,1.2e-05,0.49
10,GPU_3,1073,384,3,good,addition,6e-06,1.95e-05,0.32
11,GPU_3,1081,882,4,bad,addition,6.5000000000000004e-06,1.35e-05,0.48
12,GPU_3,1108,75,26,bad,addition,6.5000000000000004e-06,1.2499999999999999e-05,0.51
13,GPU_3,1125,224,6,good,addition,6.5000000000000004e-06,1.15e-05,0.55
14,GPU_3,1133,1024,4,good,addition,7e-06,1.7e-05,0.46499999999999997
15,GPU_3,1137,384,4,good,addition,6.5000000000000004e-06,1.65e-05,0.43000000000000005
16,GPU_3,1138,680,4,bad,addition,6.5000000000000004e-06,1.7e-05,0.42000000000000004
17,GPU_3,1140,736,4,good,addition,6.5000000000000004e-06,2.2499999999999998e-05,0.30000000000000004
18,GPU_3,1145,928,4,good,addition,6.5000000000000004e-06,2.1000000000000002e-05,0.31000000000000005
19,GPU_3,1157,175,8,bad,addition,7e-06,1.65e-05,0.475
20,GPU_3,1194,480,6,good,addition,7e-06,1.5000000000000002e-05,0.51
21,GPU_3,1204,256,5,good,addition,7.499999999999999e-06,2.2e-05,0.35
22,GPU_3,1212,896,4,good,addition,7e-06,1.15e-05,0.595
23,GPU_3,1237,864,3,good,addition,7e-06,1.1e-05,0.62
24,GPU_3,1242,207,7,bad,addition,7e-06,1.65e-05,0.475
25,GPU_3,1243,576,6,good,addition,7e-06,2.15e-05,0.33
26,GPU_3,1245,96,16,good,addition,7e-06,1.0500000000000001e-05,0.65
27,GPU_3,1253,288,9,good,addition,7e-06,1.1e-05,0.62
28,GPU_3,1255,881,2,bad,addition,7e-06,1.65e-05,0.475
29,GPU_3,1258,793,3,bad,addition,7e-06,1.95e-05,0.35
