Index,GPU,ProblemSize,ThreadsPerBlock,NumBlocks,Alignment,Operation,Avg_SingleThreadTime(sec),Avg_KernelTime(sec),Avg_Speedup
1,GPU_2,1030,448,4,good,subtraction,5.5e-06,1.15e-05,0.48
2,GPU_2,1035,224,10,good,subtraction,5e-06,1.15e-05,0.44999999999999996
3,GPU_2,1041,512,5,good,subtraction,6e-06,1.15e-05,0.515
4,GPU_2,1048,47,33,bad,subtraction,5e-06,1.5e-05,0.345
5,GPU_2,1053,640,4,good,subtraction,5e-06,1.45e-05,0.375
6,GPU_2,1055,320,8,good,subtraction,6e-06,1.1e-05,0.56
7,GPU_2,1058,352,6,good,subtraction,5.5e-06,1.4e-05,0.41
8,GPU_2,1059,128,14,good,subtraction,6e-06,1.45e-05,0.43000000000000005
9,GPU_2,1071,657,4,bad,subtraction,5.5e-06,1.45e-05,0.4
10,GPU_2,1073,384,3,good,subtraction,6e-06,1.15e-05,0.53
11,GPU_2,1081,882,4,bad,subtraction,5.5e-06,1.45e-05,0.4
12,GPU_2,1108,75,26,bad,subtraction,6e-06,1.55e-05,0.42500000000000004
13,GPU_2,1125,224,6,good,subtraction,5.5e-06,1.0500000000000001e-05,0.52
14,GPU_2,1133,1024,4,good,subtraction,6e-06,1.1e-05,0.54
15,GPU_2,1137,384,4,good,subtraction,6e-06,1.1e-05,0.5449999999999999
16,GPU_2,1138,680,4,bad,subtraction,5.5e-06,2.1000000000000002e-05,0.36000000000000004
17,GPU_2,1140,736,4,good,subtraction,5.5e-06,2.3500000000000002e-05,0.25
18,GPU_2,1145,928,4,good,subtraction,5.5e-06,1.9e-05,0.28500000000000003
19,GPU_2,1157,175,8,bad,subtraction,5e-06,1.3000000000000001e-05,0.395
20,GPU_2,1194,480,6,good,subtraction,5e-06,1.1e-05,0.445
21,GPU_2,1204,256,5,good,subtraction,6e-06,1e-05,0.585
22,GPU_2,1212,896,4,good,subtraction,6e-06,1.1e-05,0.535
23,GPU_2,1237,864,3,good,subtraction,6.5000000000000004e-06,1.15e-05,0.5700000000000001
24,GPU_2,1242,207,7,bad,subtraction,6e-06,1.4000000000000001e-05,0.45499999999999996
25,GPU_2,1243,576,6,good,subtraction,6e-06,1.2e-05,0.495
26,GPU_2,1245,96,16,good,subtraction,6e-06,1.2e-05,0.49
27,GPU_2,1253,288,9,good,subtraction,6e-06,1.1e-05,0.545
28,GPU_2,1255,881,2,bad,subtraction,6.5000000000000004e-06,1.5e-05,0.475
29,GPU_2,1258,793,3,bad,subtraction,6e-06,1.2e-05,0.505
30,GPU_2,1273,232,11,bad,subtraction,6e-06,1.4e-05,0.455
31,GPU_2,1275,497,4,bad,subtraction,6e-06,1.1e-05,0.555
32,GPU_2,1295,992,2,good,subtraction,6.5000000000000004e-06,1.15e-05,0.5549999999999999
33,GPU_2,1302,608,4,good,subtraction,6.5000000000000004e-06,1.55e-05,0.435
34,GPU_2,1307,672,3,good,subtraction,6.5000000000000004e-06,1.2e-05,0.5449999999999999
35,GPU_2,1321,896,2,good,subtraction,7e-06,1.5e-05,0.495
36,GPU_2,1324,480,4,good,subtraction,6e-06,1.1e-05,0.5549999999999999
37,GPU_2,1339,224,6,good,subtraction,6.5000000000000004e-06,1.1e-05,0.5800000000000001
38,GPU_2,1340,832,3,good,subtraction,6.5000000000000004e-06,1.1e-05,0.6
39,GPU_2,1368,296,10,bad,subtraction,6.5000000000000004e-06,1.8e-05,0.36
40,GPU_2,1378,954,3,bad,subtraction,6e-06,1.1e-05,0.53
41,GPU_2,1382,992,3,good,subtraction,6.5000000000000004e-06,1.45e-05,0.475
42,GPU_2,1385,928,2,good,subtraction,6.5000000000000004e-06,1.5e-05,0.45999999999999996
43,GPU_2,1387,979,3,bad,subtraction,6e-06,1.0500000000000001e-05,0.575
44,GPU_2,1404,1018,3,bad,subtraction,6.5000000000000004e-06,1.1e-05,0.575
45,GPU_2,1416,128,14,good,subtraction,6.5000000000000004e-06,0.00017150000000000002,0.27
46,GPU_2,1434,848,4,bad,subtraction,7e-06,1.1e-05,0.64
47,GPU_2,1458,896,3,good,subtraction,7e-06,1.45e-05,0.495
48,GPU_2,1483,663,3,bad,subtraction,7e-06,1.4e-05,0.515
49,GPU_2,1498,210,9,bad,subtraction,7.499999999999999e-06,1.2e-05,0.645
50,GPU_2,1502,246,14,bad,subtraction,7e-06,1.1e-05,0.63
51,GPU_2,1510,480,6,good,subtraction,7e-06,1.0500000000000001e-05,0.66
52,GPU_2,1524,140,22,bad,subtraction,7e-06,1.4000000000000001e-05,0.54
53,GPU_2,1531,832,2,good,subtraction,7e-06,1.0500000000000001e-05,0.665
54,GPU_2,1567,990,3,bad,subtraction,7e-06,1.4e-05,0.525
55,GPU_2,1572,224,8,good,subtraction,7e-06,1.4e-05,0.53
56,GPU_2,1574,896,2,good,subtraction,7.499999999999999e-06,1.15e-05,0.6499999999999999
57,GPU_2,1587,960,3,good,subtraction,7e-06,1.0500000000000001e-05,0.665
58,GPU_2,1596,864,3,good,subtraction,7.499999999999999e-06,1e-05,0.73
59,GPU_2,1602,512,5,good,subtraction,7.499999999999999e-06,1.0500000000000001e-05,0.71
60,GPU_2,1664,576,6,good,subtraction,7.499999999999999e-06,1.45e-05,0.565
