Index,GPU,ProblemSize,ThreadsPerBlock,NumBlocks,Alignment,Operation,Avg_SingleThreadTime(sec),Avg_KernelTime(sec),Avg_Speedup
1,GPU_5,1030,448,4,good,subtraction,1.35e-05,2.4e-05,0.5700000000000001
2,GPU_5,1035,224,10,good,subtraction,1.5e-05,2.65e-05,0.575
3,GPU_5,1041,512,5,good,subtraction,1.1e-05,2.1000000000000002e-05,0.525
4,GPU_5,1048,47,33,bad,subtraction,1.4999999999999999e-05,2.65e-05,0.575
5,GPU_5,1053,640,4,good,subtraction,1.55e-05,2.5e-05,0.63
6,GPU_5,1055,320,8,good,subtraction,1.45e-05,2.6e-05,0.5700000000000001
7,GPU_5,1058,352,6,good,subtraction,1.0500000000000001e-05,1.9e-05,0.53
8,GPU_5,1059,128,14,good,subtraction,6.5000000000000004e-06,1.2499999999999999e-05,0.51
9,GPU_5,1071,657,4,bad,subtraction,1.55e-05,2.5e-05,0.63
10,GPU_5,1073,384,3,good,subtraction,1.5e-05,2.45e-05,0.615
11,GPU_5,1081,882,4,bad,subtraction,1.55e-05,2.4e-05,0.645
12,GPU_5,1108,75,26,bad,subtraction,1.15e-05,1.9e-05,0.585
13,GPU_5,1125,224,6,good,subtraction,1.45e-05,3.15e-05,0.5
14,GPU_5,1133,1024,4,good,subtraction,1.6e-05,2.6e-05,0.63
15,GPU_5,1137,384,4,good,subtraction,1.0500000000000001e-05,1.8500000000000002e-05,0.55
16,GPU_5,1138,680,4,bad,subtraction,1.55e-05,2.55e-05,0.62
17,GPU_5,1140,736,4,good,subtraction,1.65e-05,2.5e-05,0.6699999999999999
18,GPU_5,1145,928,4,good,subtraction,1.3e-05,2.2e-05,0.6
19,GPU_5,1157,175,8,bad,subtraction,1.55e-05,2.45e-05,0.63
20,GPU_5,1194,480,6,good,subtraction,1.2e-05,1.9e-05,0.64
21,GPU_5,1204,256,5,good,subtraction,7e-06,1.2e-05,0.575
22,GPU_5,1212,896,4,good,subtraction,1.6e-05,2.85e-05,0.575
23,GPU_5,1237,864,3,good,subtraction,1.7e-05,2.55e-05,0.665
24,GPU_5,1242,207,7,bad,subtraction,1.7e-05,2.55e-05,0.665
25,GPU_5,1243,576,6,good,subtraction,2.15e-05,2.5e-05,0.855
26,GPU_5,1245,96,16,good,subtraction,1.7e-05,3.0999999999999995e-05,0.565
27,GPU_5,1253,288,9,good,subtraction,1.65e-05,3.2500000000000004e-05,0.54
28,GPU_5,1255,881,2,bad,subtraction,1.4999999999999999e-05,2.3e-05,0.6499999999999999
29,GPU_5,1258,793,3,bad,subtraction,1.7e-05,2.55e-05,0.665
30,GPU_5,1273,232,11,bad,subtraction,1.1e-05,1.9e-05,0.56
31,GPU_5,1275,497,4,bad,subtraction,1.65e-05,2.55e-05,0.6599999999999999
32,GPU_5,1295,992,2,good,subtraction,2.4e-05,3.05e-05,0.775
33,GPU_5,1302,608,4,good,subtraction,7.499999999999999e-06,1.8e-05,0.45499999999999996
34,GPU_5,1307,672,3,good,subtraction,1.15e-05,1.8e-05,0.59
35,GPU_5,1321,896,2,good,subtraction,1.75e-05,2.6e-05,0.6799999999999999
36,GPU_5,1324,480,4,good,subtraction,1.75e-05,2.6e-05,0.6799999999999999
37,GPU_5,1339,224,6,good,subtraction,1.15e-05,1.8e-05,0.61
38,GPU_5,1340,832,3,good,subtraction,1.75e-05,2.55e-05,0.695
39,GPU_5,1368,296,10,bad,subtraction,1.75e-05,2.4e-05,0.73
40,GPU_5,1378,954,3,bad,subtraction,1.8e-05,2.75e-05,0.6699999999999999
41,GPU_5,1382,992,3,good,subtraction,1.8e-05,2.55e-05,0.715
